15 20
1 0.000000e+000 0.000000e+000 0.000000e+000
2 2.000000e+000 0.000000e+000 0.000000e+000
3 2.000000e+000 4.000000e+000 0.000000e+000
4 0.000000e+000 4.000000e+000 0.000000e+000
5 1.000000e+000 0.000000e+000 0.000000e+000
6 2.000000e+000 1.000000e+000 0.000000e+000
7 2.000000e+000 2.000000e+000 0.000000e+000
8 2.000000e+000 3.000000e+000 0.000000e+000
9 1.000000e+000 4.000000e+000 0.000000e+000
10 0.000000e+000 3.000000e+000 0.000000e+000
11 0.000000e+000 2.000000e+000 0.000000e+000
12 0.000000e+000 1.000000e+000 0.000000e+000
13 1.000000e+000 1.000000e+000 0.000000e+000
14 1.000000e+000 2.000000e+000 0.000000e+000
15 1.000000e+000 3.000000e+000 0.000000e+000
2 102 5 2 
9 102 4 10 
1 102 1 5 
5 102 7 8 
11 102 11 12 
10 102 10 11 
4 102 6 7 
12 102 12 1 
7 102 3 9 
6 102 8 3 
3 102 2 6 
8 102 9 4 
19 204 14 11 10 15 
16 204 8 15 9 3 
14 204 6 13 14 7 
20 204 15 10 4 9 
15 204 7 14 15 8 
18 204 13 12 11 14 
17 204 5 1 12 13 
13 204 2 5 13 6 
